title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
행복가,서울시 중구 퇴계로36길 10,02-554-1049,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9944984,37.5602245
엔젤리너스카페,서울시 중구 명동7길 8,02-753-1769,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9846952,37.56424485
중림동 325-1 제2종근린생활시설(우진제임스전),서울시 중구 세종대로11길 30,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9742205,37.5623464
흥부골 님원 추어탕(레보빌),서울시 강남구 언주로113길  14,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0362231,37.50940052
육 칠 팔,서울시 강남구 논현로 420,02-556-6678,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0386823,37.49773873
빕스 창동점,서울시 도봉구 도봉로  526,02-904-1997,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0371501,37.65200847
씨제이푸드,서울시 은평구 서오릉로  4,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9275317,37.60201031
한국맥도날드,서울시 성동구 왕십리로 321,02-2296-4452,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0335991,37.56217678
명가낙지마당(지하1지상1층),서울시 양천구 목동로 614-9,02-2647-2203,Y,N,Y,N,N,N,N,N,N,N,N,N,126.8635375,37.54804342
봉추찜닭(신사빌딩),서울시 강남구 도산대로13길 14-4,02-516-5687,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0236021,37.51886636
개성면옥,서울시 성북구 정릉로  263,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0129422,37.60409949
제2근린생활(수한의원부동산),서울시 강서구 초원로 85,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.8149654,37.56767806
세븐몽키스(금원빌딩),서울시 강남구 선릉로  425,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0494117,37.50296512
보나세라,서울시 강남구 도산대로45길 18-2,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0356602,37.52366452
민들레영토,서울시 서대문구 명물길 40,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9388951,37.55834856
프리미어플레이스,서울시 중구 중림로 40,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9673949,37.55769189
한마당 본점,서울시 성북구 화랑로 187,02-942-4205,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0508913,37.6079703
경복궁,서울시 송파구 올림픽로  348,02-418-7767,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.1090332,37.51592272
킹스(북해도),서울시 강서구 공항대로  341,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,126.8455286,37.55809668
정통복국(청운빌딩),서울시 강남구 도산대로 236,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.033143,37.52080857
스타벅스 커피 스토리,서울시 종로구 대명길 5,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0011549,37.58352216
